date,natural gas,electricity prices
2010-01-01,48,35
2010-02-01,50,37
2010-03-01,60,32
2010-04-01,55,29
2010-05-01,49,27
2010-06-01,46,23
2010-07-01,40,25
2010-08-01,40,27
2010-09-01,47,26
2010-10-01,51,26
2010-11-01,49,32
2010-12-01,39,27
2011-01-01,39,40
2011-02-01,39,43
2011-03-01,42,34
2011-04-01,29,27
2011-05-01,30,30
2011-06-01,31,47
2011-07-01,28,53
2011-08-01,26,46
2011-09-01,35,44
2011-10-01,36,43
2011-11-01,39,30
2011-12-01,30,26
2012-01-01,38,34
2012-02-01,41,36
2012-03-01,37,27
2012-04-01,51,28
2012-05-01,59,23
2012-06-01,34,20
2012-07-01,33,22
2012-08-01,30,23
2012-09-01,35,24
2012-10-01,38,32
2012-11-01,40,26
2012-12-01,32,19
2013-01-01,41,21
2013-02-01,39,23
2013-03-01,38,22
2013-04-01,34,19
2013-05-01,32,18
2013-06-01,28,17
2013-07-01,25,20
2013-08-01,27,21
2013-09-01,31,22
2013-10-01,36,54
2013-11-01,42,32
2013-12-01,30,20
2014-01-01,38,26
2014-02-01,41,23
2014-03-01,37,22
2014-04-01,32,17
2014-05-01,31,17
2014-06-01,31,16
2014-07-01,30,16
2014-08-01,24,17
2014-09-01,31,15
2014-10-01,33,18
2014-11-01,37,19
2014-12-01,33,14
2015-01-01,38,24
2015-02-01,41,23
2015-03-01,34,18
2015-04-01,33,16
2015-05-01,30,16
2015-06-01,29,15
2015-07-01,27,15
2015-08-01,22,14
2015-09-01,28,16
2015-10-01,32,17
2015-11-01,35,15
2015-12-01,28,11
2016-01-01,33,19
2016-02-01,34,20
2016-03-01,32,19
2016-04-01,34,16
2016-05-01,31,13
2016-06-01,26,12
2016-07-01,27,13
2016-08-01,23,15
2016-09-01,29,14
2016-10-01,32,14
2016-11-01,34,18
2016-12-01,29,15
2017-01-01,31,22
2017-02-01,33,26
2017-03-01,33,20
2017-04-01,29,17
2017-05-01,28,18
2017-06-01,28,15
2017-07-01,27,15
2017-08-01,24,19
2017-09-01,29,20
2017-10-01,34,20
2017-11-01,35,17
2017-12-01,33,15
2018-01-01,36,18
2018-02-01,36,19
2018-03-01,35,23
2018-04-01,27,15
2018-05-01,24,13
2018-06-01,24,15
2018-07-01,23,18
2018-08-01,20,17
2018-09-01,25,18
2018-10-01,28,17
2018-11-01,34,17
2018-12-01,25,15
2019-01-01,32,16
2019-02-01,31,16
2019-03-01,27,17
2019-04-01,31,13
2019-05-01,26,10
2019-06-01,27,12
2019-07-01,22,13
2019-08-01,23,12
2019-09-01,30,14
2019-10-01,36,13
2019-11-01,41,12
2019-12-01,43,10
2020-01-01,44,13
2020-02-01,43,14
2020-03-01,36,12
2020-04-01,39,11
2020-05-01,37,12
2020-06-01,41,12
2020-07-01,37,10
2020-08-01,37,11
2020-09-01,41,15
2020-10-01,40,13
2020-11-01,41,11
2020-12-01,45,11
2021-01-01,43,13
2021-02-01,48,15
2021-03-01,34,13
2021-04-01,33,11
2021-05-01,30,11
2021-06-01,27,10
2021-07-01,24,12
2021-08-01,23,17
2021-09-01,50,38
2021-10-01,55,27
2021-11-01,45,21
2021-12-01,38,18
2022-01-01,49,36
2022-02-01,67,49
2022-03-01,68,53
2022-04-01,50,43
2022-05-01,45,30
2022-06-01,47,27
2022-07-01,45,32
2022-08-01,58,78
2022-09-01,64,59
2022-10-01,63,41
2022-11-01,53,32
2022-12-01,55,32
2023-01-01,63,35
2023-02-01,59,29
2023-03-01,53,26
2023-04-01,42,26
2023-05-01,43,28
2023-06-01,42,27
2023-07-01,34,26
2023-08-01,34,24
2023-09-01,38,23
2023-10-01,45,21
2023-11-01,46,21
2023-12-01,43,18
2024-01-01,48,19
2024-02-01,53,20
2024-03-01,46,18
2024-04-01,40,16
2024-05-01,35,13
2024-06-01,35,14
2024-07-01,33,16
2024-08-01,29,17
2024-09-01,35,19
2024-10-01,43,16
2024-11-01,40,17
2024-12-01,37,13
2025-01-01,48,18
2025-02-01,48,21
2025-03-01,43,17
2025-04-01,38,15
2025-05-01,37,13
2025-06-01,36,15
2025-07-01,29,16
2025-08-01,29,15
2025-09-01,29,17
2025-10-01,37,16
2025-11-01,56,20
2025-12-01,65,22
2026-01-01,80,27
2026-02-01,91,30
2026-03-01,100,48
2026-04-01,84,44
2026-05-01,43,28
